German,English
ich,I
du,you
er,he
sie,she
es,it
wir,we
ihr,you (plural)
sie,they
sein,to be
haben,to have
werden,to become
können,can
müssen,must
sagen,to say
machen,to do
geben,to give
kommen,to come
sollen,should
wollen,to want
gehen,to go
wissen,to know
sehen,to see
lassen,to let
stehen,to stand
finden,to find
bleiben,to stay
liegen,to lie
heißen,to be called
denken,to think
nehmen,to take
tun,to do
dürfen,may
glauben,to believe
halten,to hold
nennen,to call
mögen,to like
zeigen,to show
führen,to lead
sprechen,to speak
bringen,to bring
leben,to live
fahren,to drive
meinen,to mean
fragen,to ask
kennen,to know
gelten,to apply
stellen,to place
spielen,to play
arbeiten,to work
brauchen,to need
Haus,house
Mensch,person
Zeit,time
Jahr,year
Tag,day
Welt,world
Hand,hand
Kind,child
Auge,eye
Leben,life
Mann,man
Frau,woman
Freund,friend
Familie,family
Schule,school
Arbeit,work
Geld,money
Wasser,water
Buch,book
Stadt,city
Land,country
Straße,street
Auto,car
Zimmer,room
Garten,garden
Baum,tree
Blume,flower
Hund,dog
Katze,cat
Vogel,bird
Fisch,fish
Sonne,sun
Mond,moon
Stern,star
Himmel,sky
Meer,sea
Berg,mountain
Fluss,river
Essen,food
Brot,bread
Milch,milk
Käse,cheese
Apfel,apple
Computer,computer
Telefon,telephone
Musik,music
Film,movie
Frage,question
Antwort,answer
Problem,problem
